P.1.0000009.99.99,RM. MANG KABAYAN,0,JL.H.Usmar Ismail Cikarang Baru Blok C. 6 DS. Mekarmukti Kec.Cikarang Selatan                                                                                                                                                                             ,Luar Kota,ANDIAWAN WIDJAYA / RM. MANG KABAYAN,,,0
P.1.0000018.19.01,RM. ASOKA  ,0,RUKO GALERI SINGARAJA BLOK A NO.15                                                                                                                                                                                                                        ,Kecamatan Cikarang Selatan ,ASOKA RESTORAN/ DHARMADAS NARAYANAU,,,0
P.1.0000022.06.02,BAKMI GRAND KELINCI GRAND WISATA,0,GRAND WISATA BLOK AA3 NO.1                                                                                                                                                                                                                                ,Kecamatan Tambun Selatan,BAKMI GRAND KELINCI,,,0
P.1.0000041.09.10,BEBEK GORENG SPESIAL,0,"Jl. Raya Kasuari No. 8 RT/RW : -, Mekarmukti, Kecamatan Cikarang Utara Kab. BEKASI Telp.- Kode Pos.                                                                                                                                                       ",Kecamatan Cikarang Utara,BEBEK GORENG SPESIAL (BP. AYAT/ DIRAN),,,0
P.1.0001391.09.01,WILL'S KITCHEN,0,Jl. MH. Thamrin -city walk Lippo Cikarang Sukaresmi Cikarang Selatan                                                                                                                                                                                      ,Kecamatan Cikarang Utara,WILLS KITCHEN,,,0
P.2.0000435.19.01 02,"KANTIN SIAP SAJI ""ASEM-ASEM""- LEMBAH HIJAU",0,"Ruko Melawai Blok B No. 27 Taman Lembah Hijau, Ds. Serang Kec. Cikarang Selatan                                                                                                                                                                           ",Kecamatan Cikarang Selatan ,PONDOK MAKAN ASEM-ASEM,,,0
